,,,,,,
ID,State,Avg_Temp,Avg_Precp,Sun_Percentage,Humidity,
1,Alabama,62.8,58.3,58,84,
2,Alaska,26.6,22.5,41,77,
3,Arizona,60.3,13.6,85,53,
4,Arkansas,60.4,50.6,61,85,
5,California,59.4,22.2,68,76,
6,Colorado,45.1,15.9,71,60,
7,Connecticut,49,50.3,56,79,
8,Delaware,55.3,45.7,61,79,
9,Florida,70.7,54.5,66,87,
10,Georgia,63.5,50.7,66,86,
11,Hawaii,70,63.7,71,71,
12,Idaho,44.4,18.9,64,68,
13,Illionois,51.8,39.2,56,83,
14,Indiana,51.7,41.7,55,83,
15,Iowa,47.8,34.0,59,78,
16,Kansas,54.3,28.9,65,80,
17,Kentucky,55.6,48.9,56,79,
18,Louisiana,66.4,60.1,57,87,
19,Maine,41,42.2,57,82,
20,Maryland,54.2,44.5,57,77,
21,Massachusetts,47.9,47.7,58,75,
22,Michigan,44.4,32.8,51,84,
23,Minnesota,41.2,27.3,58,78,
24,Mississippi,63.4,59.0,61,91,
25,Missouri,54.5,42.2,60,82,
26,Montana,42.7,15.3,59,71,
27,Nebraska,48.8,23.6,61,82,
28,Nevada,49.9,9.5,79,71,
29,New Hampshire,43.8,43.4,54,84,
30,New Jersey,43.8,47.1,56,83,
31,New Mexico,53.4,14.6,76,60,
32,New York,45.4,41.8,46,82,
33,North Carolina,59.0,50.3,60,83,
34,North Dakota,40.4,17.8,59,80,
35,Ohio,50.7,39.1,50,80,
36,Oklahoma,59.6,36.5,68,79,
37,Oregon,48.4,27.4,48,85,
38,Pennsylvannia,48.8,42.9,58,77,
39,Rhode Island,50.1,47.9,58,78,
40,South Carolina,62.4,49.8,64,86,
41,South Dakota,45.2,20.1,63,83,
42,Tennessee,57.6,54.2,56,84,
43,Texas,64.8,28.9,61,82,
44,Utah,48.6,12.2,66,67,
45,Vermont,42.9,42.7,49,77,
46,Virginia,55.1,44.3,63,84,
47,Washington,48.3,38.4,47,83,
48,West Virginia,51.8,45.2,48,83,
49,Wisconsin,43.1,32.6,54,84,
50,Wyoming,42,12.9,68,63,
51,Puerto Rico,78,84,73,75,
